iter	Passed	Remaining
0	60	60028
1	60	30207
2	60	20237
3	61	15247
4	61	12251
5	61	10255
6	62	8831
7	62	7757
8	62	6924
9	63	6258
10	63	5715
11	63	5266
12	64	4881
13	64	4551
14	64	4265
15	65	4016
16	65	3798
17	66	3610
18	66	3435
19	66	3281
20	67	3140
21	67	3010
22	68	2889
23	68	2780
24	68	2680
25	69	2588
26	69	2500
27	69	2420
28	70	2344
29	70	2274
30	70	2211
31	71	2150
32	71	2092
33	71	2039
34	72	1988
35	72	1938
36	72	1892
37	73	1849
38	73	1807
39	73	1767
40	73	1730
41	74	1697
42	74	1663
43	75	1629
44	75	1598
45	75	1568
46	75	1540
47	76	1514
48	76	1487
49	76	1462
50	77	1437
51	77	1413
52	77	1390
53	78	1368
54	78	1346
55	78	1326
56	78	1306
57	79	1287
58	79	1268
59	79	1250
60	80	1233
61	80	1217
62	80	1201
63	81	1186
64	81	1170
65	81	1155
66	82	1142
67	82	1125
68	82	1112
69	82	1100
70	83	1087
71	83	1074
72	83	1062
73	83	1050
74	84	1038
75	84	1026
76	84	1015
77	85	1005
78	85	994
79	85	984
80	85	974
81	86	965
82	86	955
83	86	946
84	86	935
85	87	926
86	87	916
87	87	908
88	87	900
89	88	892
90	88	884
91	88	877
92	89	870
93	89	863
94	89	855
95	90	848
96	90	841
97	90	834
98	90	827
99	91	820
100	91	814
101	91	806
102	91	799
103	92	793
104	92	787
105	92	781
106	92	775
107	93	769
108	93	763
109	93	758
110	94	752
111	94	747
112	94	742
113	94	736
114	95	731
115	95	726
116	95	721
117	95	716
118	95	710
119	96	705
120	96	701
121	96	696
122	96	690
123	97	686
124	97	682
125	97	678
126	98	673
127	98	669
128	98	665
129	98	661
130	99	657
131	99	653
132	99	649
133	99	645
134	100	642
135	100	638
136	100	634
137	100	630
138	101	627
139	101	623
140	101	619
141	102	616
142	102	613
143	102	610
144	102	607
145	103	603
146	103	600
147	103	597
148	104	594
149	104	591
150	104	588
151	105	585
152	105	582
153	105	579
154	105	576
155	106	573
156	106	571
157	106	568
158	106	565
159	107	562
160	107	559
161	107	557
162	107	554
163	108	551
164	108	549
165	108	546
166	109	544
167	109	541
168	109	538
169	109	536
170	110	533
171	110	531
172	110	529
173	110	526
174	111	524
175	111	522
176	111	520
177	112	517
178	112	515
179	112	513
180	112	510
181	113	508
182	113	505
183	113	503
184	113	501
185	114	499
186	114	496
187	114	495
188	114	492
189	115	490
190	115	488
191	115	486
192	115	484
193	116	482
194	116	480
195	116	479
196	117	477
197	117	475
198	117	473
199	117	471
200	118	469
201	118	467
202	118	466
203	119	464
204	119	462
205	119	461
206	119	459
207	120	457
208	120	455
209	120	454
210	120	452
211	121	450
212	121	448
213	121	447
214	121	445
215	122	443
216	122	441
217	122	440
218	122	438
219	123	436
220	123	434
221	123	433
222	123	431
223	124	429
224	124	428
225	124	426
226	124	424
227	124	423
228	125	421
229	125	419
230	125	418
231	125	416
232	126	415
233	127	416
234	127	415
235	127	413
236	127	412
237	128	410
238	128	409
239	128	407
240	129	406
241	129	404
242	129	403
243	129	401
244	129	400
245	130	398
246	130	397
247	130	395
248	130	394
249	131	393
250	131	392
251	131	390
252	131	389
253	132	387
254	132	386
255	132	385
256	132	383
257	133	382
258	133	381
259	133	380
260	133	378
261	133	377
262	134	376
263	134	374
264	134	373
265	134	372
266	135	370
267	135	369
268	135	368
269	135	367
270	136	366
271	136	364
272	136	363
273	136	362
274	137	361
275	137	360
276	137	359
277	137	357
278	138	356
279	138	355
280	138	354
281	138	353
282	139	352
283	139	351
284	139	349
285	139	348
286	139	347
287	140	346
288	140	345
289	140	344
290	140	343
291	141	342
292	141	341
293	141	340
294	142	339
295	142	338
296	142	337
297	142	336
298	143	335
299	143	334
300	143	333
301	143	332
302	143	331
303	144	330
304	144	329
305	144	327
306	144	326
307	145	325
308	145	324
309	145	323
310	145	322
311	145	321
312	146	320
313	146	319
314	146	318
315	146	317
316	147	316
317	147	315
318	147	314
319	147	313
320	147	312
321	148	311
322	148	310
323	148	310
324	148	309
325	149	308
326	149	307
327	149	306
328	149	305
329	150	304
330	150	303
331	150	303
332	150	302
333	151	301
334	151	300
335	151	299
336	152	299
337	152	298
338	152	297
339	152	296
340	153	295
341	153	294
342	153	294
343	153	293
344	153	292
345	154	291
346	154	291
347	154	290
348	155	289
349	155	288
350	155	287
351	155	286
352	156	286
353	156	285
354	157	285
355	157	284
356	157	283
357	157	283
358	158	282
359	158	281
360	158	280
361	158	280
362	159	279
363	159	278
364	159	277
365	159	276
366	160	276
367	160	275
368	160	274
369	160	274
370	161	273
371	161	272
372	161	271
373	161	271
374	163	271
375	163	271
376	163	270
377	163	269
378	164	268
379	164	267
380	164	267
381	164	266
382	165	265
383	165	265
384	165	264
385	165	263
386	166	262
387	166	262
388	166	261
389	166	260
390	166	259
391	167	259
392	167	258
393	167	257
394	167	257
395	168	256
396	168	255
397	168	254
398	168	254
399	168	253
400	169	252
401	169	252
402	169	251
403	169	250
404	170	250
405	170	249
406	170	248
407	170	247
408	171	247
409	171	246
410	171	245
411	171	245
412	171	244
413	172	243
414	172	243
415	172	242
416	172	241
417	173	240
418	173	240
419	173	239
420	173	239
421	174	238
422	174	237
423	174	237
424	174	236
425	174	235
426	175	235
427	175	234
428	175	233
429	175	233
430	176	232
431	176	231
432	176	231
433	176	230
434	176	229
435	177	229
436	177	228
437	177	227
438	177	227
439	177	226
440	179	227
441	179	227
442	180	226
443	180	225
444	180	225
445	180	224
446	181	224
447	181	223
448	181	222
449	181	222
450	181	221
451	182	220
452	182	220
453	182	219
454	182	219
455	183	218
456	183	217
457	183	217
458	183	216
459	184	216
460	184	215
461	184	214
462	184	214
463	185	214
464	185	213
465	186	213
466	186	212
467	186	212
468	186	211
469	187	210
470	187	210
471	187	209
472	187	209
473	187	208
474	188	208
475	188	207
476	188	206
477	188	206
478	189	205
479	189	205
480	189	204
481	189	204
482	190	203
483	190	202
484	190	202
485	190	201
486	191	201
487	191	200
488	191	200
489	191	199
490	191	198
491	192	198
492	192	197
493	192	197
494	192	196
495	193	196
496	193	195
497	193	195
498	194	194
499	194	194
500	195	194
501	195	193
502	195	193
503	196	193
504	196	192
505	197	192
506	197	191
507	197	191
508	198	191
509	198	190
510	198	190
511	199	189
512	199	189
513	200	189
514	200	188
515	200	188
516	201	187
517	201	187
518	201	186
519	202	186
520	202	186
521	202	185
522	202	185
523	203	184
524	203	184
525	203	183
526	204	183
527	204	182
528	204	182
529	205	181
530	205	181
531	205	180
532	205	180
533	206	179
534	206	179
535	206	178
536	206	178
537	207	177
538	207	177
539	207	176
540	207	176
541	208	175
542	208	175
543	208	174
544	208	174
545	209	173
546	209	173
547	209	172
548	209	172
549	210	171
550	210	171
551	210	171
552	211	170
553	211	170
554	211	169
555	211	169
556	212	168
557	212	168
558	212	167
559	212	167
560	213	166
561	213	166
562	213	166
563	214	165
564	214	165
565	214	164
566	215	164
567	215	163
568	215	163
569	215	162
570	216	162
571	216	161
572	216	161
573	216	160
574	217	160
575	217	160
576	217	159
577	218	159
578	218	158
579	218	158
580	218	157
581	219	157
582	219	156
583	219	156
584	219	155
585	220	155
586	220	155
587	220	154
588	220	154
589	221	153
590	221	153
591	221	152
592	222	152
593	222	151
594	222	151
595	222	150
596	222	150
597	223	150
598	223	149
599	223	149
600	224	148
601	224	148
602	224	147
603	225	147
604	225	147
605	225	146
606	225	146
607	226	145
608	226	145
609	226	144
610	227	144
611	227	144
612	227	143
613	227	143
614	228	142
615	228	142
616	228	141
617	228	141
618	229	141
619	229	140
620	229	140
621	230	139
622	230	139
623	230	138
624	230	138
625	231	138
626	231	137
627	231	137
628	231	136
629	232	136
630	232	135
631	232	135
632	232	135
633	233	134
634	233	134
635	233	133
636	234	133
637	234	132
638	234	132
639	234	132
640	235	131
641	235	131
642	235	130
643	235	130
644	236	130
645	236	129
646	236	129
647	237	128
648	237	128
649	237	127
650	237	127
651	238	127
652	238	126
653	238	126
654	238	125
655	239	125
656	239	125
657	239	124
658	240	124
659	240	123
660	240	123
661	241	123
662	241	122
663	241	122
664	241	121
665	242	121
666	242	121
667	242	120
668	242	120
669	243	119
670	243	119
671	243	118
672	243	118
673	244	118
674	244	117
675	244	117
676	244	116
677	245	116
678	245	116
679	245	115
680	246	115
681	246	114
682	246	114
683	246	114
684	247	113
685	247	113
686	247	112
687	247	112
688	248	112
689	248	111
690	248	111
691	249	110
692	249	110
693	249	110
694	249	109
695	250	109
696	250	108
697	250	108
698	250	108
699	251	107
700	251	107
701	251	106
702	252	106
703	252	106
704	252	105
705	252	105
706	253	104
707	253	104
708	253	104
709	253	103
710	254	103
711	254	102
712	254	102
713	255	102
714	255	101
715	255	101
716	255	101
717	256	100
718	256	100
719	256	99
720	257	99
721	257	99
722	257	98
723	258	98
724	258	97
725	258	97
726	258	97
727	259	96
728	259	96
729	259	96
730	260	95
731	260	95
732	260	94
733	260	94
734	261	94
735	261	93
736	261	93
737	262	93
738	262	92
739	262	92
740	262	91
741	263	91
742	263	91
743	263	90
744	264	90
745	264	90
746	264	89
747	264	89
748	265	88
749	265	88
750	265	88
751	266	87
752	266	87
753	266	87
754	266	86
755	267	86
756	267	85
757	267	85
758	268	85
759	269	84
760	269	84
761	269	84
762	270	83
763	270	83
764	270	83
765	270	82
766	271	82
767	271	81
768	271	81
769	271	81
770	272	80
771	272	80
772	272	80
773	273	79
774	273	79
775	273	79
776	274	78
777	274	78
778	274	77
779	275	77
780	275	77
781	275	76
782	275	76
783	276	76
784	276	75
785	276	75
786	276	74
787	277	74
788	277	74
789	277	73
790	278	73
791	278	73
792	278	72
793	278	72
794	279	71
795	279	71
796	279	71
797	279	70
798	280	70
799	280	70
800	280	69
801	281	69
802	281	69
803	281	68
804	281	68
805	282	67
806	282	67
807	282	67
808	282	66
809	283	66
810	283	66
811	283	65
812	283	65
813	284	64
814	284	64
815	284	64
816	285	63
817	285	63
818	285	63
819	285	62
820	285	62
821	286	61
822	286	61
823	286	61
824	287	60
825	287	60
826	287	60
827	288	59
828	288	59
829	288	59
830	288	58
831	289	58
832	289	58
833	289	57
834	290	57
835	290	56
836	290	56
837	290	56
838	291	55
839	291	55
840	291	55
841	291	54
842	292	54
843	292	54
844	292	53
845	292	53
846	293	52
847	293	52
848	293	52
849	294	51
850	294	51
851	294	51
852	294	50
853	295	50
854	295	50
