iter	Passed	Remaining
0	60	60439
1	60	30341
2	61	20307
3	61	15312
4	61	12302
5	62	10296
6	62	8861
7	62	7785
8	63	6946
9	63	6274
10	63	5724
11	63	5268
12	64	4879
13	64	4548
14	64	4261
15	65	4011
16	65	3787
17	65	3589
18	66	3412
19	66	3256
20	66	3111
21	67	2980
22	67	2860
23	67	2750
24	67	2649
25	68	2555
26	68	2468
27	68	2387
28	69	2311
29	69	2240
30	69	2175
31	69	2113
32	70	2055
33	70	2001
34	70	1950
35	71	1901
36	71	1856
37	71	1812
38	71	1770
39	72	1731
40	72	1694
41	72	1658
42	73	1625
43	73	1592
44	73	1561
45	73	1532
46	74	1504
47	74	1477
48	74	1451
49	75	1426
50	75	1403
51	75	1380
52	76	1358
53	76	1337
54	76	1316
55	76	1296
56	77	1276
57	77	1258
58	77	1240
59	78	1222
60	78	1205
61	78	1188
62	78	1172
63	79	1156
64	79	1142
65	79	1127
66	79	1113
67	80	1099
68	80	1086
69	80	1073
70	81	1060
71	81	1048
72	81	1036
73	81	1024
74	82	1013
75	82	1002
76	82	991
77	82	980
78	83	970
79	83	960
80	83	951
81	84	941
82	84	930
83	84	921
84	84	912
85	85	904
86	85	895
87	85	887
88	85	879
89	86	871
90	86	863
91	86	855
92	86	847
93	87	840
94	87	833
95	87	826
96	88	820
97	88	813
98	88	806
99	88	800
100	89	794
101	89	787
102	89	781
103	90	776
104	90	770
105	90	764
106	90	759
107	91	753
108	91	748
109	91	744
110	92	739
111	92	734
112	92	729
113	93	724
114	93	719
115	93	714
116	93	708
117	94	705
118	94	700
119	94	696
120	95	692
121	95	686
122	95	682
123	96	678
124	96	674
125	96	669
126	96	665
127	97	661
128	97	657
129	97	653
130	97	649
131	98	645
132	98	641
133	98	638
134	99	634
135	99	630
136	99	627
137	99	623
138	100	620
139	100	616
140	100	613
141	100	609
142	101	605
143	101	602
144	101	599
145	101	596
146	102	593
147	102	589
148	102	586
149	103	583
150	103	580
151	103	577
152	103	574
153	104	572
154	104	569
155	104	566
156	105	563
157	105	561
158	105	558
159	105	555
160	105	552
161	106	549
162	106	547
163	106	545
164	107	542
165	107	539
166	107	537
167	108	535
168	108	532
169	108	529
170	108	527
171	109	525
172	109	523
173	109	521
174	110	518
175	110	516
176	110	514
177	110	512
178	111	510
179	111	508
180	111	505
181	112	503
182	112	501
183	112	499
184	112	497
185	113	495
186	113	493
187	113	491
188	113	488
189	114	486
190	114	484
191	114	483
192	115	481
193	115	479
194	115	477
195	115	475
196	116	473
197	116	472
198	116	470
199	117	468
200	117	466
201	117	465
202	118	463
203	118	461
204	118	460
205	118	458
206	119	456
207	119	454
208	119	453
209	120	451
210	120	449
211	120	448
212	120	446
213	121	444
214	121	443
215	121	441
216	121	440
217	122	438
218	122	437
219	122	435
220	123	433
221	123	432
222	123	431
223	124	429
224	124	428
225	124	426
226	124	425
227	125	424
228	125	422
229	125	421
230	126	419
231	126	418
232	126	416
233	126	415
234	127	413
235	127	412
236	127	411
237	127	409
238	128	408
239	128	407
240	128	405
241	129	404
242	129	403
243	129	401
244	129	400
245	130	399
246	130	397
247	130	396
248	131	395
249	131	393
250	131	392
251	131	391
252	132	390
253	132	388
254	132	387
255	132	386
256	133	385
257	133	384
258	133	382
259	134	381
260	134	380
261	134	379
262	134	378
263	135	377
264	135	375
265	135	374
266	136	373
267	136	372
268	136	371
269	136	370
270	137	369
271	137	367
272	137	366
273	138	365
274	138	365
275	138	364
